"10022554","Device:R","Resistor:R0603_1k_1%","AllModules:R0603_1","","RESISTOR, 1K OHM, 0.063W,+/-1%, 0603","1k","R82,R93","../../10005011 Power Management/10005011 Const-I-Gen.sch","BOURNS_RMS1","CR0603-FX-1001ELF","https://www.bourns.com/docs/Product-Datasheets/CHPREZTR.pdf"
"10022556","Device:R","Resistor:R0603_22k_1%","AllModules:R0603_1","","RESISTOR, 22 K OHM,0.063W, +/-1%,0603","22k","R119","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","BOURNS_RMS1","CR0603-FX-2202ELF","~"
"10022557","Device:R","Resistor:R1206_1k_1%","AllModules:RC1206_1","","RESISTOR,1 KOHM,0.25W,+/-1%,1206","1k","R69,R99,R115","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","SAMSUNG_RMS1","RC3216F1001CS","~"
"10022558","10005011_Power_Management:IRLML2803TRPBF","Transistor:IRLML2803TRPBF","AllModules:SOT23-GSD_1","","TRANSISTOR MOSFET, 30V, 0.93A, 0.25 OHM, N CHANNEL","IRLML2803","T23,T29","../../10005011 Power Management/10005011 Connectors-FAN.sch","INTERNATIONAL RECTIFIER_RMS1","IRLML2803PBF","https://www.infineon.com/dgdl/irlml2803pbf.pdf?fileId=5546d462533600a4015356682aff260f"
"10022559","10005011_Power_Management:IRFR024NTRPBF","Transistor:IRFR024NTRPBF","AllModules:DPAK-GDS_1","","TRANSISTOR MOSFET, 60V, 16.7A,  N CHANNEL","IRFR024NTRPBF","T24,T27","../../10005011 Power Management/10005011 Const-I-Gen.sch","INTERNATIONAL RECTIFIER_RMS1","IRFR024NTRPBF","https://www.infineon.com/dgdl/irfr024npbf.pdf?fileId=5546d462533600a40153562cf721203c"
"10022560","10005011_Power_Management:SUD50P06-15L-E3","Transistor:SUD50P06-15L-E3","AllModules:DPAK-GDS_1","","TRANSISTOR MOSFET, 60V, 50A, P CHANNEL","SUD50P06-15L","T3,T4,T5,T9,T10,T14,T15,T25,T26","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","VISHAY_RMS1","SUD50P06 - 15L","https://www.vishay.com/docs/68940/sud50p06.pdf"
"10022607","Device:C","Capacitor:C0402_100nF_16V_10%","AllModules:C0402_1","","CAPACITOR,100NF,16V,+/-10%,X7R,0402","100nF","C1,C3,C4,C5,C6,C8,C9,C12,C13,C15,C17,C25,C35,C36,C46,C58,C59,C63,C64,C69,C71,C75,C78,C82,C85,C86,C87,C88,C91,C92,C93,C96,C97,C101,C102,C103,C104,C105,C108,C122,C123,C124,C126","../../10005011 Power Management/10005011 FTDI.sch","MURATA","GRM155R71C104JA88J","https://psearch.en.murata.com/capacitor/product/GCM155R71C104KA55%23.pdf"
"10022609","Device:C","Capacitor:C0603_33pF_50V_5%","AllModules:C0603_1","","CAPACITOR, 33PF, +/-5%,50V,NPO, 0603","33pF","C7","../../10005011 Power Management/10005011 FTDI.sch","MURATA MANUFACTURING CO., LTD.","GRM1885C1H330JA01D","~"
"10022610","Device:C","Capacitor:C0402_470pF_50V_10%","AllModules:C0402_1","","CAPACITOR,470PF,+/-10%,50V,0402","470pF","C16","../../10005011 Power Management/10005011 PIC-Micro.sch","YAGEO_RMS1","CC0402JRNPO9BN471","https://psearch.en.murata.com/capacitor/product/GCM155R71H471KA37%23.pdf"
"10022613","Device:C","Capacitor:C0603_4n7F_50V_10%","AllModules:C0603_1","","CAPACITOR CERAMIC,4.7NF,+/-10%,50V,0603","4.7nF","C24","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","KEMET_RMS1","C0603C472K5RACTU","~"
"10022616","Device:C","Capacitor:C0805_4u7F_16V_10%","AllModules:C0805_1","","CAPACITOR,4.7UF,+/-10%,16V, X5R, 0805","4.7uF","C30,C80","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","AVX_RMS1","0805YD475KAT2A",""
"10022618","Device:C","Capacitor:C1206_2u2F_16V_10%","AllModules:RC1206_1","","CAPACITOR,2.2UF,+/-10%,16V,1206","2.2uF","C33","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","MURATA MANUFACTURING CO., LTD.","GCM31MR71E225KA57L",""
"10022620","Device:C","Capacitor:C0603_220nF_16V_20%","AllModules:C0603_1","","CAPACITOR,220NF,+/-20%,16V,0603","220nF","C38,C39","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","VISHAY_RMS1","VJ0603V224MXJCW1BC",""
"10022621","10005011_Power_Management:CP","Capacitor:C_330uF","AllModules:C-SC10_1","","CAPACITOR ELECTROLYTIC, 330UF,35V","330uF","C42,C125","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","PANASONIC_RMS1","EEEFK1V331P",""
"10022622","10005011_Power_Management:CP","Capacitor:C_220uF_20%","AllModules:C-SC8_1","","CAPACITOR ELECTROLYTIC, 220UF,16V+/-20%","220uF","C44","../../10005011 Power Management/10005011 FTDI.sch","PANASONIC_RMS1","EEEFK1C221P",""
"10022623","Device:C","Capacitor:C0402_47pF_50V_5%","AllModules:C0402_1","","CAPACITOR,47 PF,+/-5%,50V,0402","47pF","C48,C120,C121,C127,C128,C129,C130","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","MURATA MANUFACTURING CO., LTD.","GRM1555C1H470JA01D",""
"10022625","10005011_Power_Management:CP","Capacitor:C_100uF_35V_10%","AllModules:C-SC8_1","","CAPACITOR ELECTROLYTIC, 100UF,35V,+/-10%","100uF","C54","../../10005011 Power Management/10005011 FTDI.sch","PANASONIC_RMS1","EEEFK1V101P",""
"10022626","Device:C","Capacitor:C0603_56pF_50V_5%","AllModules:C0603_1","","CAPACITOR,56PF,50V,+/-5%,0603,NPO","56pF","C68","../../10005011 Power Management/10005011 Const-I-Gen.sch","YAGEO_RMS1","CC0603JRNPO9BN560","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf"
"10022627","Device:C","Capacitor:C0603_33nF_16V_10%","AllModules:C0603_1","","CAPACITOR,33NF,+/-10%,16V,X7R,0603","0.033uF","C72","../../10005011 Power Management/10005011 Const-I-Gen.sch","AVX_RMS1","0603YC333KAT2A","http://datasheets.avx.com/X7RDielectric.pdf"
"10022628","Device:C","Capacitor:C0603_1nF_50V_10%","AllModules:C0603_1","","CAPACITOR,1NF,+/-10%,50V,X7R,0603","1000pF","C74","../../10005011 Power Management/10005011 Const-I-Gen.sch","AVX_RMS1","06035C102KAT2A","http://datasheets.avx.com/X7RDielectric.pdf"
"10022629","Device:C","Capacitor:C0402_100pF_50V_5%","AllModules:C0402_1","","CAPACITOR,100PF,50V,+/-5%,C0G,0402","100pF","C77,C81","../../10005011 Power Management/10005011 Const-I-Gen.sch","MURATA MANUFACTURING CO., LTD.","GRM1555C1H101JD01D","http://www.samsungsem.com/kr/support/product-search/mlcc/CL10C101JB81PNC.jsp"
"10022630","Device:C","Capacitor:C0603_1uF_10%","AllModules:C0603_1","","CAPACITOR,1UF,+/-10%,6.3V,X5R,0603","1uF","C84","../../10005011 Power Management/10005011 Const-I-Gen.sch","MURATA MANUFACTURING CO., LTD.","GRM188B11A105KA61D","https://api.kemet.com/component-edge/download/datasheet/C0603C105K9PACTU.pdf"
"10022632","Device:C","Capacitor:C0603_22pF_50V_5%","AllModules:C0603_1","","CAPACITOR CERAMIC,22PF,+/-5%,50V,0603","22pF","C94,C95","../../10005011 Power Management/10005011 USB HOST.sch","SAMSUNG_RMS1","CL10C220JB8NNNC","~"
"10022634","Device:C","Capacitor:C1206_220nF_16V_10%","AllModules:RC1206_1","","CAPACITOR,220NF,+/-10%,16V,X7R,1206","220nF","C50","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","VISHAY_RMS1","VJ1206Y224JXAAT",""
"10022650","10005011_Power_Management:1N5819","Diode:1N5819","AllModules:SOD123-AK_1","","DIODE SCHOTTKY, 40V, 1A SOD123","1N5819","CR1,CR2,D19","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","NEXPERIA","PMEG4010CEGW","https://www.diodes.com/assets/Datasheets/ds30217.pdf"
"10022652","10005011_Power_Management:BAT54","Diode:BAT54","AllModules:SOT23-1G_1","","DIODE SCHOTTKY, 30V, 200MA","BAT54","D1,D17,D18,D20","../../10005011 Power Management/10005011 PIC-Micro.sch","NXP SEMICONDUCTORS_RMS1","BAT54,215","http://www.onsemi.com/pub/Collateral/BAT54LT1-D.PDF"
"10022653","10005011_Power_Management:BAT54C","Diode:BAT54C","AllModules:SOT23-1G_1","","DIODE SCHOTTKY DOUBLE,30V, 200MA,SOT23","BAT54C","D2,D7,D14,D15,D16","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","NXP SEMICONDUCTORS_RMS1","BAT54C,215","https://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/BAT54(A,C,S).pdf"
"10022654","10005011_Power_Management:SZ1SMB","Diode:SZ1SMB","AllModules:SMB-AIROX_1","","DIODE TRANSIENT 600W,36V","1SMB36","D3,D21","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","LITTLEFUSE","SZ1SMB36AT3G","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_sz1smb_datasheet.pdf.pdf"
"10022655","10005011_Power_Management:BZX84C4V7","Diode:BZX84C4V7","AllModules:SOT23-1DIODE_1","","DIODE ZENER, 0.35W,4.7V","BZX84C4V7","D4","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","NXP SEMICONDUCTORS_RMS1","BZX84-C4V7","https://4donline.ihs.com/images/VipMasterIC/IC/ONSM/ONSM-S-A0003405162/ONSM-S-A0003405162-1.pdf?hkey=EC6BD57738AE6E33B588C5F9AD3CEFA7"
"10022656","10005011_Power_Management:STPS340U","Diode:STPS340U","AllModules:SMB_1","","DIODE SCHOTTKY, 3A, 40V","STPS340U","D5,D6,D11","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","STMICROELECTRONICS","STPS340U","http://www.st.com/content/ccc/resource/technical/document/datasheet/bb/db/21/0c/04/d9/41/a5/CD00000844.pdf/files/CD00000844.pdf/jcr:content/translations/en.CD00000844.pdf"
"10022657","10005011_Power_Management:BZX84C5V1","Diode:BZX84C5V1","AllModules:SOT23-1DIODE_1","","DIODE ZENER, 0.35,5.1V, SOT23","BZX84C5V1","D10,D12","../../10005011 Power Management/10005011 Connectors-FAN.sch","NXP SEMICONDUCTORS_RMS1","BZX84-C5V1","https://www.diodes.com/assets/Datasheets/ds18001.pdf"
"10022658","Device:D_TVS","Diode:D_TVS_10022658","AllModules:SMC-NP_1","","DIODE, 33V, VCL 53.3V, 1500W","SMCJ33C","D13","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","BOURNS_RMS1","SMCJ33CA","https://www.diodes.com/assets/Datasheets/ds40741.pdf"
"10022695","Device:R","Resistor:R0603_27k_1%","AllModules:R0603_1","","RESISTOR,27K OHM, 0.063W, +/-1%, 0603","27k","R18","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","YAGEO_RMS1","RC0603FR-0727KL","~"
"10022696","Device:R","Resistor:R0603_10k2_0.1%","AllModules:R0603_1","","RESISTOR,10.2K OHM, 0.063W, +/-0.1%,0603","10.2k","R2","../../10005011 Power Management/10005011 PIC-Micro.sch","VISHAY_RMS1","TNPW060310K2BEEA","~"
"10022697","Device:R","Resistor:R0805_470R_1%","AllModules:R0805_1","","RESISTOR,470 OHM, 0.125W,+/-1%, 0805","470","R3","../../10005011 Power Management/10005011 FTDI.sch","YAGEO_RMS1","RC0805FR-07470RL","~"
"10022698","Device:R","Resistor:R0603_12k_1%","AllModules:R0603_1","","RESISTOR,12K OHM,0.063W,+/-1%,0603","12k","R4","../../10005011 Power Management/10005011 PIC-Micro.sch","VISHAY_RMS1","CRCW060312K0FKEA","~"
"10022699","Device:R","Resistor:R0603_27R_1%","AllModules:R0603_1","","RESISTOR,27 OHM,0.063W,+/-1%,0603","27","R5,R6","../../10005011 Power Management/10005011 FTDI.sch","YAGEO_RMS1","RC0603FR-0727RL","~"
"10022700","Device:R","Resistor:R0603_1k5_1%","AllModules:R0603_1","","RESISTOR,1.5K OHM,0.063W,+/-1%,0603","1.5k","R7","../../10005011 Power Management/10005011 FTDI.sch","YAGEO_RMS1","RC0603FR-071K5L","~"
"10022701","Device:R","Resistor:R0603_10k_0.1%","AllModules:R0603_1","","RESISTOR, PRECISION,10K OHM, 0.063W,+/-0.1%,0603","10k","R9,R22,R35,R47,R56,R57,R66,R70,R71,R72,R78,R112","../../10005011 Power Management/10005011 PIC-Micro.sch","SUSUMU CO","RG1608P-103-B-T1","~"
"10022704","Device:R","Resistor:R0603_470R_1%","AllModules:R0603_1","","RESISTOR,470 OHM, 0.063W,+/-1%,0603","470","R14","../../10005011 Power Management/10005011 PIC-Micro.sch","YAGEO_RMS1","RC0603FR-07470RL","~"
"10022708","Device:R","Resistor:R0603_110k_0.1%","AllModules:R0603_1","","RESISTOR,110K OHM,0.603W,+/-0.1%,0603","110k","R19,R33","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","VISHAY_RMS1","MCT06030D1103BP100","~"
"10022709","Device:R","Resistor:R0603_100k_0.1%","AllModules:R0603_1","","RESISTOR, 100K OHM, 0.063W,+/-0.1%,0603","100k","R44,R64,R125","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","SUSUMU CO","RG1608P-104-B-T1","~"
"10022710","Device:R","Resistor:R2010_15m_1%","AllModules:R2010_1","","RESISTOR, 0.015 OHM, 1W,+/-1%,2010","0.015 ","R45","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","WELWYN","LRF2010-R015FW","~"
"10022711","Device:R","Resistor:R0603_39k_1%","AllModules:R0603_1","","RESISTOR,39K OHM,0.063W,+/-1%,0603","39k","R48,R61","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","BOURNS_RMS1","CR0603-FX-3902ELF ","~"
"10022712","Device:R","Resistor:R0603_33k_1%","AllModules:R0603_1","","RESISTOR,33K OHM,0.063W,+/-1%,0603","33k","R52,R109","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","VISHAY_RMS1","CRCW060333K0FKEA","~"
"10022713","Device:R","Resistor:R0603_40k2_0.1%","AllModules:R0603_1","","RESISTOR,40.2K OHM,0.063W,+/-0.1%,0603","40.2k","R55,R120","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","YAGEO_RMS1","RT0603BRD0740K2L","~"
"10022714","Device:R","Resistor:R0603_5k6_1%","AllModules:R0603_1","","RESISTOR,5.6K OHM,0.063W,+/-1%,0603","5.6k","R59","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","YAGEO_RMS1","RC0603FR-075K6L",""
"10022716","Device:R","Resistor:R1206_15m_1%","AllModules:RC1206_1","","RESISTOR,0.015 OHM, 0.5W,+/-1%,1206","0.015","R62","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","WELWYN","LRC-LRF1206LF-01-R015-F","~"
"10022717","Device:R","Resistor:R0603_47k_0.1%","AllModules:R0603_1","","RESISTOR,47K OHM,0.063W,+/-0.1%,0603","47k","R63","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","YAGEO_RMS1","RT0603BRE0747KL",""
"10022718","Device:R","Resistor:R0603_1k62_0.1%","AllModules:R0603_1","","RESISTOR,1.62K OHM,0.063W,+/0.1%,0603","1.62k","R67","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","YAGEO_RMS1","RT0603BRE071K62L",""
"10022719","Device:R","Resistor:R0603_3k24_0.1%","AllModules:R0603_1","","RESISTOR,PRECISION, 3.24K OHM, 0.063W,+/-0.1%,0603","3K24","R73","../../10005011 Power Management/10005011 FTDI.sch","YAGEO_RMS1","RT0603BRD073K24L","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_11.pdf"
"10022720","Device:R","Resistor:R0603_1k24_1%","AllModules:R0603_1","","RESISTOR,1.24K OHM,0.063W.+/-1%,0603","1.24k","R74,R76","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","YAGEO_RMS1","RC0603FR-071K24L","~"
"10022721","Device:R","Resistor:R2512_15m_1%","AllModules:R2512_1","","RESISTOR,0.015 OHM,2W,+/-1%,2512","0.015","R75","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","WELWYN","LRF2512-R015FW","~"
"10022722","Device:R","Resistor:R0603_1M5_1%","AllModules:R0603_1","","RESISTOR,1.5M OHM,0.063W,+/-1%,0603","1.5M","R79,R108","../../10005011 Power Management/10005011 Const-I-Gen.sch","YAGEO_RMS1","RC0603FR-071M5L","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf"
"10022723","Device:R","Resistor:R2010_50m_1%","AllModules:R2010_1","","RESISTOR,0.05 OHM,1W,+/-1%,2010","0.05_2010","R80","../../10005011 Power Management/10005011 Const-I-Gen.sch","VISHAY_RMS1","WSLT2010R0500FEB18","https://www.seielect.com/catalog/sei-csr_csrn.pdf"
"10022724","Device:R","Resistor:R0603_13k7_0.1%","AllModules:R0603_1","","RESISTOR,13.7K OHM,0.063W,+/-0.1%,0603","13.7k","R81","../../10005011 Power Management/10005011 Const-I-Gen.sch","TYCO ELECTRONICS","CPF0603B13K7E","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"
"10022726","Device:R","Resistor:R0603_2k87_0.1%","AllModules:R0603_1","","RESISTOR,2.87K OHM,0.063W,+/-0.1%,0603","2.87k","R85","../../10005011 Power Management/10005011 Const-I-Gen.sch","WELWYN","PCF0603R-2K87BI","https://www.mouser.com/datasheet/2/414/PCF-1528243.pdf"
"10022727","Device:R","Resistor:R0603_86k6_1%","AllModules:R0603_1","","RESISTOR,86.6K OHM,0.063W,+/-1%,0603","86.6k","R87","../../10005011 Power Management/10005011 Const-I-Gen.sch","YAGEO_RMS1","RC0603FR-0786K6L","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf"
"10022728","Device:R","Resistor:R_390R_5%","AllModules:SM2_1","","RESISTOR,390 OHM,2W,+.-5%,SM2","390_2616","R88,R126","../../10005011 Power Management/10005011 Const-I-Gen.sch","TYCO ELECTRONICS","SMF2390RJT","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773242&DocType=DS&DocLang=English"
"10022729","Device:R","Resistor:R0603_1k37_0.1%","AllModules:R0603_1","","RESISTOR,1.37K OHM,0.063W,+/-0.1%,0603","1.37k","R90","../../10005011 Power Management/10005011 Const-I-Gen.sch","TYCO ELECTRONICS","3-1879219-4","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"
"10022730","Device:R","Resistor:R0603_16k2_0.1%","AllModules:R0603_1","","RESISTOR,16.2K OHM,0.063W,+/-0.1%,0603","16.2k","R91","../../10005011 Power Management/10005011 Const-I-Gen.sch","YAGEO_RMS1","RT0603BRD0716K2L","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf"
"10022731","Device:R","Resistor:R0603_3k3_1%","AllModules:R0603_1","","RESISTOR,3.3K OHM,0.063W,+/-1%,0603","3.3k","R92","../../10005011 Power Management/10005011 Const-I-Gen.sch","YAGEO_RMS1","RC0603FR-073K3L","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf"
"10022733","Device:R","Resistor:R0603_33R_1%","AllModules:R0603_1","","RESISTOR,33 OHM,0.063W,+/-1%,0603","33","R95","../../10005011 Power Management/10005011 Const-I-Gen.sch","YAGEO_RMS1","RC0603FR-0733RL","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf"
"10022734","Device:R","Resistor:R0603_47k_1%","AllModules:R0603_1","","RESISTOR,47K OHM,0.063W,+/-1%,0603","47k","R8,R102","../../10005011 Power Management/10005011 USB HOST.sch","YAGEO_RMS1","RC0603FR-0747KL",""
"10022735","Device:R","Resistor:R0603_2k7_1%","AllModules:R0603_1","","RESISTOR,2.7K OHM,0.063W,+/-1%,0603","2.7k","R103","../../10005011 Power Management/10005011 USB HOST.sch","BOURNS_RMS1","CR0603-FX-2701ELF","~"
"10022736","Device:R","Resistor:R0603_1M_1%","AllModules:R0603_1","","RESISTOR,1M OHM,0.063W,+/-1%,0603","1M","R104,R110,R113","../../10005011 Power Management/10005011 USB HOST.sch","YAGEO_RMS1","RC0603FR-071ML","~"
"10022737","Device:R","Resistor:R0603_66k5_0.1%","AllModules:R0603_1","","RESISTOR,66.5K OHM,0.063W,+/-0.1%,0603","66.5k","R107","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","YAGEO_RMS1","RT0603BRD0766K5L","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_11.pdf"
"10022739","10005011_Power_Management:TLV3012AIDBV","IC:TLV3012AIDBV","AllModules:SOT23-6_1","","IC, COMPARATOR, SOT23-6","TLV3012AIDBV","IC6","../../10005011 Power Management/10005011 Connectors-FAN.sch","TEXAS INSTRUMENTS_RMS1","TLV3012AIDBVR","http://www.ti.com/lit/ds/symlink/tlv3012.pdf"
"10022740","Device:R","Resistor:R1206_1k5_1%","AllModules:RC1206_1","","RESISTOR,1.5K OHM,0.250W,+/-1%,1206","1.5k","R114","../../10005011 Power Management/10005011 Connectors-FAN.sch","YAGEO_RMS1","RC1206FR-071K5L","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf"
"10022741","Device:L_Core_Iron","Inductor:L_Core_Iron_10022741","AllModules:SF-3863-WESI_1","","INDUCTOR, POWER CHOKE, 47UH, 8A","47uH","L3","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","WURTH ELEKTRONIK GMBH","P01/00004","~"
"10022742","Device:R","Resistor:R1206_100R_1%","AllModules:RC1206_1","","RESISTOR,100 OHM,0.25W,+/-1%,1206","100","R116","../../10005011 Power Management/10005011 Connectors-FAN.sch","YAGEO/PHYCOMP_RMS1","RC1206FR-07100RL","https://www.bourns.com/docs/Product-Datasheets/CHPREZTR.pdf"
"10022743","Device:R","Resistor:R0805_270R_1%","AllModules:R0805_1","","RESISTOR,270 OHM,0.125W,+/-1%,0805","270","R117","../../10005011 Power Management/10005011 Buck-Boost 24V.sch","YAGEO_RMS1","RC0805FR-07270RL",""
"10022744","Device:R","Resistor:R0603_470k_1%","AllModules:R0603_1","","RESISTOR,470K OHM,0.063W,+/-1%,0603","470k","R118,R122","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","BOURNS_RMS1","CR0603-FX-4703ELF","~"
"10022867","10005011_Power_Management:USB_B_Mini_2shield","Connector:USB_B_Mini_2shield","AllModules:MOL54819-0511_1","","USB MINI B","USB Mini B","J1","../../10005011 Power Management/10005011 FTDI.sch","MOLEX_RMS1","54819-0519","~"
"10022868","10005011_Power_Management:Conn_01x06_Female_x02_SidePads","Connector:Conn_01x06_Female_x02_SidePads","AllModules:B6BZR-SM3TF_1","","CONNECTOR, ZH RIGHT, PINS 6 / 1.5 MM 1A/50V","ICSP","J2","../../10005011 Power Management/10005011 PIC-Micro.sch","J.S.T. CORPORATION","B6B-ZR-SM4-TF(LF)(SN)","~"
"10022869","Connector:Conn_01x12_Female","Connector:Conn_01x12_Female","AllModules:MOL41815-12_1","","CONNECTOR KK PC BOARD 12 CIRCUITS, 3.96MM,5A,250V","DC","J3","../../10005011 Power Management/10005011 Switching-ExtPWR.sch","MOLEX_RMS1","26-11-2123","~"
